Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    8.437082] c0    254 [AUD] tfa9887: set_tfa9887_spkamp: en = 0 dsp_enabled = 1
<6>[    8.437692] c0    254 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 0 dsp_enabled = 1
<6>[    8.438303] c0    254 [AUD] snd_soc_msm8960: spk amp off--
<6>[    8.553853] c0    574 apq8064_get_q6_effect_mode: mode 0
<6>[    8.554402] c0    574 [AUD] snd_soc_core: soc_dpcm_be_dai_startup:open BE MI2S Playback
<6>[    8.554402] c0    574 [AUD] snd_soc_core: soc_pcm_open: pcm open MI2S Playback
<6>[    8.554463] c0    574 [AUD] snd_soc_msm8960: spk amp on ++
<6>[    8.554494] c0    574 [AUD] tfa9887: set_tfa9887_spkamp: en = 1 dsp_enabled = 1
<6>[    8.555135] c0    574 [AUD] tfa9887l: set_tfa9887l_spkamp: en = 1 dsp_enabled = 1
<6>[    8.555745] c0    574 [AUD] snd_soc_msm8960: spk amp on --
<6>[    8.555775] c0    574 [AUD] snd_soc_core: soc_pcm_open: pcm open MultiMedia1
<6>[    8.555898] c0    574 apq8064_get_q6_effect_mode: mode 0
<6>[    8.555898] c0    574 [AUD] q6asm: q6asm_open_write_v2:change to HTC_POPP_TOPOLOGY
<6>[    8.559987] c0    574 apq8064_get_q6_effect_mode: mode 0
<6>[    8.560018] c0    574 ion_client_create: create ion_client (audio_client) at dd7e0880
<6>[    8.562490] c0    574 [AUD] snd_soc_qdsp6: msm_pcm_hw_params:buf = dd65c200
<6>[    8.562582] c0    574 apq8064_get_q6_effect_mode: mode 0
<6>[    8.565939] c0    574 [AUD] q6adm: adm_matrix_map: session 0x1 path:1 num_copps:1 port_id[0]:6
<6>[    8.565939] c0    574 [AUD] q6adm: adm_matrix_map: port_id[0]: 6, index: 6
<6>[    8.567068] c0    574 [AUD] q6afe: afe_port_start: 6 48000
<3>[    8.626216] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<7>[    8.966854] c1    116 [QSC] qsc_do_first_power_on: Pulling AP2QSC_STATUS gpio high
<6>[    8.986815] c0      0 mmc0 Statistics: read 144672 KB in 2758 ms, perf 52455 KB/s, rq 2732
<6>[    9.066809] c2    286 [QSC] qsc_modem_ioctl: QSC has been booted by mdm bootloader irq.
<6>[    9.066992] c2    286 configure_gsbi1_uart_gpios(): configuring GPIO to UART ON
<6>[    9.067450] c2    286 msm_hs_set_termios: Set RFR high so remote uart does not send any data.
<6>[    9.067450] c2    286 msm_hs_set_bps_locked: set CSR as 0xff.
<6>[    9.067480] c2    286 msm_hs_set_bps_locked: set 4Mbps as default baud rate for gsbi1.
<6>[    9.067480] c2    286 msm_hs_set_bps_locked: delay 5ms while baud rate is changing.
<6>[    9.072577] c2    286 msm_hs_set_termios: Set RFR low so remote uart can send data.
<4>[    9.072638] c2    286 justdebug<smux> msm_hs_set_mctrl_locked set_rts<0>
<6>[    9.073004] c2    286 msm_hs_set_termios: Set RFR high so remote uart does not send any data.
<6>[    9.073035] c2    286 msm_hs_set_bps_locked: set 4Mbps as default baud rate for gsbi1.
<6>[    9.073035] c2    286 msm_hs_set_bps_locked: delay 5ms while baud rate is changing.
<6>[    9.078132] c2    286 msm_hs_set_termios: Set RFR low so remote uart can send data.
<3>[    9.126476] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
Update: [2013/12/05 12:01:44 (11.795766580)]
<6>[    9.278040] c2    242 wcnss_wlan triggered by userspace
<3>[    9.626705] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   10.081336] c1    286 configure_gsbi1_uart_gpios(): configuring GPIO to UART OFF
<7>[   10.081458] c1    286 [QSC] qsc_modem_ioctl: Entering ioctl cmd = 5
<7>[   10.081489] c1    286 [QSC] qsc_modem_ioctl: check if qsc is booted up
<6>[   10.081489] c1    286 [QSC] qsc_modem_ioctl: normal boot done
<6>[   10.081641] c1    286 configure_gsbi1_uart_gpios(): configuring GPIO to UART ON
<6>[   10.081977] c1    286 msm_hs_set_termios: Set RFR high so remote uart does not send any data.
<6>[   10.081977] c1    286 msm_hs_set_bps_locked: set 4Mbps as default baud rate for gsbi1.
<6>[   10.082008] c1    286 msm_hs_set_bps_locked: delay 5ms while baud rate is changing.
<6>[   10.087196] c1    286 msm_hs_set_termios: Set RFR low so remote uart can send data.
<6>[   10.087868] c0    286 configure_gsbi1_uart_gpios(): configuring GPIO to UART OFF
<6>[   10.088112] c0    286 configure_gsbi1_uart_gpios(): configuring GPIO to UART ON
<6>[   10.088417] c0    286 msm_hs_set_termios: Set RFR high so remote uart does not send any data.
<6>[   10.088417] c0    286 msm_hs_set_bps_locked: set 4Mbps as default baud rate for gsbi1.
<6>[   10.088448] c0    286 msm_hs_set_bps_locked: delay 5ms while baud rate is changing.
<6>[   10.093667] c1    286 msm_hs_set_termios: Set RFR low so remote uart can send data.
<6>[   10.094155] c1    286 msm_hs_set_termios: Set RFR high so remote uart does not send any data.
<6>[   10.094185] c1    286 msm_hs_set_bps_locked: set 4Mbps as default baud rate for gsbi1.
<6>[   10.094185] c1    286 msm_hs_set_bps_locked: delay 5ms while baud rate is changing.
<6>[   10.099923] c1    286 msm_hs_set_termios: Set RFR low so remote uart can send data.
<6>[   10.102914] c0    286 diag: SMUX probe called
<6>[   10.102945] c0    286 diag: open SMUX ch, r = 0
<7>[   10.103067] c0    286 [QSC] qsc_modem_ioctl: Entering ioctl cmd = 7
<7>[   10.103067] c0    286 [QSC] qsc_modem_ioctl: wait for qsc to need images reloaded
<3>[   10.126873] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   10.266870] c0     63 [K] [PM] hTC PM Statistic start (12-05 04:01:42) 
<6>[   10.266900] c0     63  18:  1098	gp_timer
<6>[   10.266931] c0     63  34:     1	MSM_L2
<6>[   10.266961] c0     63  48:    51	msmgpio
<6>[   10.266961] c0     63  51:   129	rpm_drv
<6>[   10.266992] c0     63  65:   126	msm_slim_irq
<6>[   10.267022] c0     63  66:    13	sps
<6>[   10.267053] c0     63 107:    39	MDP
<6>[   10.267083] c0     63 112:    70	kgsl-3d0
<6>[   10.267114] c0     63 114:     3	MIPI_DSI
<6>[   10.267114] c0     63 122:   461	smd_dev
<6>[   10.267144] c0     63 130:  3620	sps
<6>[   10.267175] c0     63 132:   134	msm_otg, msm_hsusb
<6>[   10.267205] c0     63 136: 10931	msm-sdcc (cmd), msm-sdcc (pio)
<6>[   10.267236] c0     63 183:   173	qup_err_intr
<6>[   10.267266] c0     63 185:   155	qup_err_intr
<6>[   10.267297] c0     63 187:    25	spi_qsd
<6>[   10.267297] c0     63 191:  1331	qup_err_intr
<6>[   10.267327] c0     63 203:    18	msmdatamover
<6>[   10.267358] c0     63 210:     1	tsens_interrupt
<6>[   10.267388] c0     63 225:    12	msm_hs_uart
<6>[   10.267419] c0     63 228:    41	qup_err_intr
<6>[   10.267419] c0     63 230:    64	smd_dev
<6>[   10.267480] c0     63 261:   309	ehci_hcd:usb1
<6>[   10.267511] c0     63 322:     1	synaptics-3200
<6>[   10.267541] c0     63 333:     1	qsc_vddmin
<6>[   10.267572] c0     63 338:     1	mdm errfatal
<6>[   10.267602] c0     63 344:     1	pn544
<6>[   10.267633] c0     63 362:    46	pm8xxx_usr_irq
<6>[   10.267694] c0     63 448:     1	VCP_IRQ
<6>[   10.267724] c0     63 452:     1	VBATDET_LOW_IRQ
<6>[   10.267724] c0     63 457:     1	FASTCHG_IRQ
<6>[   10.267755] c0     63 458:     1	LOOP_CHANGE_IRQ
<6>[   10.267785] c0     63 459:     1	CHGSTATE_IRQ
<6>[   10.267785] c0     63 464:     1	VDD_LOOP_IRQ
<6>[   10.267846] c0     63 484:     1	BATFET_IRQ
<6>[   10.267877] c0     63 518:    38	pm8xxx_adc_interrupt
<6>[   10.267907] c0     63 560:     1	bms_eoc_ccadc
<6>[   10.267938] c0     63 561:     1	PM8921_BMS_VSENSE_AVG
<6>[   10.267968] c0     63 565:     1	PM8921_BMS_VSENSE_THR
<6>[   10.267968] c0     63 567:     1	PM8921_BMS_SBI_WRITE_OK
<6>[   10.268182] c0     63 TCXO D0             ON
<6>[   10.268213] c0     63  * usb              ON
<6>[   10.268213] c0     63    mipi             OFF
<6>[   10.268213] c0     63    debugfs          OFF
<6>[   10.268243] c0     63 [K] cpu_id	cpu_state	idle_count	idle_time
<6>[   10.268243] c0     63 msm_rpm_dump_stat: 0, 0ms, 0, 0ms
<6>[   10.268243] c0     63 sleep_info_m.0 - 0 (0), 0ms, 0 0 0 0
<6>[   10.268274] c0     63 sleep_info_m.1 - 0 (0), 0ms, 0 0 0 0
<6>[   10.268274] c0     63 sleep_info_m.2 - 2 (0), 230ms, 0 0 750000 537500
<6>[   10.268274] c0     63 sleep_info_m.3 - 3 (1), 21ms, 0 0 750000 537500
<6>[   10.268304] c0     63 sleep_info_m.4 - 0 (0), 0ms, 0 0 0 0
<6>[   10.268304] c0     63 0 total events
<6>[   10.268335] c0     63 wakelock:  'msm_serial_hs_dma'  'pil-q6'  'pil-wcnss'  'pm8921_eoc'  'msm_otg'  'msm_hsic_host'  'main'  'msm_serial_hs_rx', time left 33; 
<6>[   10.268945] c0     63 [K] CPU Usage		PID		Name
<6>[   10.268945] c0     63 [K]        6%		252		app_process_gai		271
<6>[   10.268945] c0     63 [K]        4%		484		bootanimation		178
<6>[   10.268976] c0     63 [K]        3%		254		mediaserver		155
<6>[   10.268976] c0     63 [K]        3%		1		init		152
<6>[   10.268976] c0     63 [K]        1%		248		debugservice		73
<6>[   10.269464] c0     63 [K] [PM] hTC PM Statistic done
<6>[   10.310849] c0    242 wcnss_wlan triggered by userspace
<6>[   10.406867] c0     63 [HS_PMIC] (irq_init_work_func) Enable detect IRQ
<6>[   10.406897] c0     63 [HS_PMIC] (irq_init_work_func) Setup button IRQ type
<3>[   10.627254] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   10.866870] c0    137 [DISP] init_complete_handler()
<7>[   10.866870] c0    137 [DISP] MhlTx: SiiMhlTxInitialize
<7>[   10.869403] c0    137 [DISP] Drv: SiiMhlTxChipInitialize: 9244
<7>[   10.869830] c0    137 [DISP] SiI 9234
<7>[   10.869861] c0    137 [DISP] Drv: WriteInitialRegisterValues
<7>[   10.891896] c0    137 [DISP] Drv: MHL 1.0 Compliant Clock
<7>[   10.927239] c0    137 [DISP] Drv: InitCBusRegs
<7>[   10.932000] c0    137 [DISP] Drv: Switch To D3: pinAllowD3 = 1
<3>[   11.127483] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   11.348786] c2    242 wcnss_wlan triggered by userspace
<3>[   11.627712] c0    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[   12.128460] c2    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
Update: [2013/12/05 12:01:47 (14.796163327)]
<6>[   12.388219] c0    242 wcnss_wlan triggered by userspace
<3>[   12.628658] c2    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<3>[   13.029574] c1    335 smuxld_receive_buf: TTY ttyHS1 Error 1 (break)
<3>[   13.029787] c2     62 smux_rx_handle_idle: TTY error 0x1 - ignoring
<3>[   13.029971] c1    335 smuxld_receive_buf: TTY ttyHS1 Error 1 (break)
<3>[   13.030032] c2     62 smux_rx_handle_idle: TTY error 0x1 - ignoring
<7>[   13.054967] c1     81 [QSC] qsc_status_change: qscs sent status change interrupt
<6>[   13.054967] c1     81 [QSC] qsc_status_change: status = 1: qsc is now ready, unlock CPU freq.
<7>[   13.055028] c1    166 [QSC] qsc_status_fn: status:1
<7>[   13.055028] c1    166 [QSC] qsc_status_changed: value:1
<3>[   13.128857] c2    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   13.208179] c2    547 usb_wwan_close
<7>[   13.209247] c0    240 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 5
<7>[   13.209278] c0    240 [MDM][COMM] mdm_modem_ioctl: check if mdm is booted up
<6>[   13.209278] c0    240 [MDM][COMM] mdm_modem_ioctl: normal boot done
<6>[   13.423439] c1    242 wcnss_wlan triggered by userspace
<3>[   13.629055] c2    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<7>[   13.787181] c1     77 [MDM][COMM] mdm_status_change: mdm sent status change interrupt
<6>[   13.787211] c1    116 [MDM] mdm_status_changed: MDM2AP_STATUS_GPIO changed to 1
<6>[   13.787211] c1    116 [MDM] mdm_peripheral_disconnect+
<6>[   13.887074] c1    116 ehci_hsic_msm_remove(2607): mdm_hsic_usb_hcd:0x0
<6>[   13.890737] c1    116 msm_hsic_host msm_hsic_host: remove, state 1
<6>[   13.890767] c1    116 usb usb1: USB disconnect, device number 1
<6>[   13.890767] c1    116 usb 1-1: USB disconnect, device number 2
<6>[   13.891194] c1    116 qcserial ttyUSB0: Qualcomm USB modem converter now disconnected from ttyUSB0
<6>[   13.891286] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f30 put de780000
<6>[   13.891286] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f30 put de784000
<6>[   13.891316] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f30 put de788000
<6>[   13.891316] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f30 put de78c000
<6>[   13.891316] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f30 put de790000
<6>[   13.891347] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f38 put de7a0000
<6>[   13.891347] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f38 put de7b0000
<6>[   13.891377] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f38 put de7c0000
<6>[   13.891377] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f38 put de7d0000
<6>[   13.891408] c1    116 [WWAN_POOL] htc_put_wwan_buffer(75): list c1026f38 put de7e0000
<6>[   13.891408] c1    116 qcserial 1-1:1.0: device disconnected
<6>[   13.892629] c1    116 msm_hsic_host msm_hsic_host: USB bus 1 deregistered
<6>[   13.892720] c1    116 ehci_hsic_msm_remove[2628] pm_qos_remove_request pm_qos_req_dma_htc
<6>[   13.892751] c1    116 msm_hsic_host msm_hsic_host: ehci_hsic_msm_remove[2639] usage_count is [0] msm_hsic_host_dev:0x  (null) &pdev->dev:0xc0d62fe8 mdm_is_in_restart:0
<6>[   13.892934] c1    116 [MDM] mdm_peripheral_disconnect-
<6>[   13.892934] c1    116 [MDM] mdm_peripheral_connect+
<6>[   13.905753] c1    116 msm_hsic_host msm_hsic_host: Qualcomm EHCI Host Controller using HSIC
<6>[   13.905814] c1    116 msm_hsic_host msm_hsic_host: new USB bus registered, assigned bus number 1
<6>[   13.926842] c1    116 msm_hsic_host msm_hsic_host: irq 261, io mem 0x12510000
<6>[   13.946833] c3    116 msm_hsic_host msm_hsic_host: USB 2.0 started, EHCI 1.00
<6>[   13.946986] c3    116 usb usb1: New USB device found, idVendor=1d6b, idProduct=0002
<6>[   13.946986] c3    116 usb usb1: New USB device strings: Mfr=3, Product=2, SerialNumber=1
<6>[   13.947016] c3    116 usb usb1: Product: Qualcomm EHCI Host Controller using HSIC
<6>[   13.947016] c3    116 usb usb1: Manufacturer: Linux 3.4.10-g968ce85 ehci_hcd
<6>[   13.947016] c3    116 usb usb1: SerialNumber: msm_hsic_host
<6>[   13.947413] c3    116 usb usb1: adding 1-0:1.0 (config #1, interface 0)
<6>[   13.947565] c3    116 hub 1-0:1.0: USB hub found
<6>[   13.947596] c3    116 hub 1-0:1.0: 1 port detected
<6>[   13.947688] c3    116 hub 1-0:1.0: usb_probe_interface[328] needs_remote_wakeup:1
<6>[   13.947962] c3    116 usb usb1: udev(usb1)->enable_pm_debug=[0]
<6>[   13.948084] c3    116 ehci_hsic_msm_probe[2456] pm_qos_add_request pm_qos_req_dma_htc
<6>[   13.948603] c1    116 ehci_hsic_msm_probe(2538): mdm_hsic_usb_hcd:0xdd5dd800
<6>[   13.948664] c1    116 [MDM] mdm_peripheral_connect-
<7>[   13.948664] c1    116 [MDM][COMM] mdm_status_fn: status:1
<6>[   13.948664] c1    116 [MDM][COMM] mdm_status_fn: status = 1: mdm is now ready
<6>[   13.986845] c3    240 [MDM][COMM] mdm_hsic_reconnectd_check_fn: return 1
<6>[   13.986845] c3    240 [MDM][COMM] mdm_modem_ioctl: ret_mdm_hsic_reconnectd == 1
<6>[   13.996825] c0    252 mmc0 Statistics: read 77227 KB in 1203 ms, perf 64195 KB/s, rq 740
<3>[   14.129253] c2    243 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[   14.226857] c0     27 hub_port_wait_reset: portstatus = 0x00000503 portchange = 0x00000000
<3>[   14.286860] c2     27 usb 1-1: hub_port_init[3165] hub_port_reset retval:0
<6>[   14.286860] c2     27 usb 1-1: new high-speed USB device number 2 using msm_hsic_host
<3>[   14.296871] c2     27 usb 1-1: hub_port_init[3324] hub_set_address devnum:2 retval:0
<3>[   14.324004] c2     27 usb 1-1: hub_port_init[3359] usb_get_device_descriptor retval:8
<6>[   14.387974] c2     27 usb 1-1: New USB device found, idVendor=05c6, idProduct=9048
<6>[   14.387974] c2     27 usb 1-1: New USB device strings: Mfr=3, Product=2, SerialNumber=0
<6>[   14.388005] c2     27 usb 1-1: Product: Qualcomm CDMA Technologies MSM
<6>[   14.388005] c2     27 usb 1-1: Manufacturer: Qualcomm, Incorporated
<6>[   14.403967] c2     27 usb 1-1: adding 1-1:1.0 (config #1, interface 0)
<7>[   14.404272] c2     27 [HSIC][SYSMON] id:1
<6>[   14.404883] c2     27 diag_bridge 1-1:1.0: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.405035] c2     27 usb 1-1: adding 1-1:1.1 (config #1, interface 1)
<7>[   14.405402] c2     27 [HSIC][SYSMON] id:1
<6>[   14.405768] c2     27 [SYSMON] sysmon_probe() name=sys_mon
<7>[   14.405798] c2     27 [HSIC][SYSMON] complete
<6>[   14.405829] c2     27 hsic_sysmon 1-1:1.1: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.405981] c2     27 usb 1-1: adding 1-1:1.2 (config #1, interface 2)
<7>[   14.406317] c2     27 [HSIC][SYSMON] id:1
<6>[   14.406470] c2     27 qcserial 1-1:1.2: Qualcomm USB modem converter detected
<6>[   14.406500] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f30 get de780000
<6>[   14.406531] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f30 get de784000
<6>[   14.406531] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f30 get de788000
<6>[   14.406561] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f30 get de78c000
<6>[   14.406561] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f30 get de790000
<6>[   14.406592] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f38 get de7a0000
<6>[   14.406592] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f38 get de7b0000
<6>[   14.406622] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f38 get de7c0000
<6>[   14.406622] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f38 get de7d0000
<6>[   14.406653] c2     27 [WWAN_POOL] htc_get_wwan_buffer(94): list c1026f38 get de7e0000
<6>[   14.407355] c2     27 usb 1-1: Qualcomm USB modem converter now attached to ttyUSB0
<6>[   14.407385] c2     27 qcserial 1-1:1.2: usb_probe_interface[328] needs_remote_wakeup:1
<6>[   14.407538] c2     27 usb 1-1: adding 1-1:1.3 (config #1, interface 3)
<7>[   14.407904] c2     27 [HSIC][SYSMON] id:1
<6>[   14.408118] c2     27 bridge_probe: iface number is 3
<6>[   14.409217] c2     27 mdm_bridge 1-1:1.3: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.409430] c2     27 usb 1-1: adding 1-1:1.4 (config #1, interface 4)
<7>[   14.409919] c2     27 [HSIC][SYSMON] id:1
<6>[   14.410132] c2     27 bridge_probe: iface number is 4
<6>[   14.411262] c2     27 mdm_bridge 1-1:1.4: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.411445] c2     27 usb 1-1: adding 1-1:1.5 (config #1, interface 5)
<7>[   14.411902] c2     27 [HSIC][SYSMON] id:1
<7>[   14.413154] c2     27 [NET][CORE][RULE] attach_rules 
<7>[   14.413154] c2     27 [NET][CORE][RULE] attach_rules 
<6>[   14.413581] c2     27 rmnet_usb 1-1:1.5: rmnet_usb0: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 32:e5:9a:3f:f3:67
<6>[   14.416847] c2     27 rmnet_usb 1-1:1.5: rmnet_usb_ctrl_probe[1447]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   14.416938] c2     27 rmnet_usb 1-1:1.5: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.417182] c2     27 usb 1-1: adding 1-1:1.6 (config #1, interface 6)
<7>[   14.417518] c2     27 [HSIC][SYSMON] id:1
<7>[   14.418556] c2     27 [NET][CORE][RULE] attach_rules 
<7>[   14.418556] c2     27 [NET][CORE][RULE] attach_rules 
<6>[   14.418861] c2     27 rmnet_usb 1-1:1.6: rmnet_usb1: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 32:e5:9a:3f:f3:67
<6>[   14.419960] c2     27 rmnet_usb 1-1:1.6: rmnet_usb_ctrl_probe[1447]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   14.596886] c3     27 rmnet_usb 1-1:1.6: usb_probe_interface[328] needs_remote_wakeup:0
<6>[   14.597131] c3     27 usb 1-1: adding 1-1:1.7 (config #1, interface 7)
<7>[   14.597405] c3     27 [HSIC][SYSMON] id:1
<7>[   14.597985] c3     27 [NET][CORE][RULE] attach_rules 
<7>[   14.597985] c3     27 [NET][CORE][RULE] attach_rules 
<6>[   14.598321] c3     27 rmnet_usb 1-1:1.7: rmnet_usb2: register 'rmnet_usb' at usb-msm_hsic_host-1, RmNET net device, 32:e5:9a:3f:f3:67
<6>[   14.604059] c0     27 rmnet_usb 1-1:1.7: rmnet_usb_ctrl_probe[1447]:rmnet_usb_ctrl_start_rx dev->resp_available:0
<6>[   14.606897] c0    137 [BATT][CHG] chg_gone=1, usb_valid=1, dc_valid=0, fsm=7
<6>[   14.607477] c0      0 [USB] suspend
<6>[   14.607477] c0      0 [USB] Avail curr from USB = 2
<6>[   14.607508] c0      0 [USB] Power Supply doesn't support USB charger
<6>[   14.607508] c0      0 [BATT][CHG] Enter charge=2 (deprecated api)
<6>[   14.607538] c0      0 [USB] CI13XXX_CONTROLLER_SUSPEND_EVENT received
<6>[   14.607538] c0      0 [USB] ci13xxx_msm_suspend
<6>[   14.607721] c0    137 [BATT][CHG] usbin_valid_irq_handler: usb_target_ma=0
<6>[   14.607752] c0    137 [CABLE] cable_detection_vbus_irq_handler
